,date,cases,deaths,new cases,new deaths,current active,infection rate,infection rate weekly avg,case growth
271024,2020-06-24,9501,105.0,249.0,0.0,3853.0,0.003437707719005536,0.0032105750522424268,0.026913099870298315
274165,2020-06-25,9830,105.0,329.0,0.0,4043.0,0.0036072287329196426,0.0033046400960534124,0.03462793390169456
277314,2020-06-26,10163,106.0,333.0,1.0,4220.0,0.003765150940618573,0.0034118334589870692,0.03387589013224822
280463,2020-06-27,10458,106.0,295.0,0.0,4337.0,0.0038695401965551544,0.0035099772038847095,0.029026862147003837
283611,2020-06-28,10629,106.0,171.0,0.0,4422.0,0.003945378544885149,0.003613729162776501,0.016351118760757316
286759,2020-06-29,10951,107.0,322.0,1.0,4614.0,0.004116683990524668,0.0037295897655193,0.0302944773732242
289911,2020-06-30,11227,107.0,276.0,0.0,4768.0,0.004254085233381364,0.0038565393368414427,0.025203177791982466
293065,2020-07-01,11487,108.0,260.0,1.0,4845.0,0.004322785854809713,0.003982979070527753,0.023158457290460496
296221,2020-07-02,11833,111.0,346.0,3.0,5026.0,0.004484276925959467,0.004108271669533443,0.03012100635501001
299384,2020-07-03,12149,112.0,316.0,1.0,5164.0,0.00460740271501287,0.00422859335158977,0.02670497760500296
302549,2020-07-04,12435,112.0,286.0,0.0,5229.0,0.0046653967460887485,0.004342287144380283,0.023541032183718825
305714,2020-07-05,12540,113.0,105.0,1.0,5211.0,0.004649336860560044,0.0044428526180481254,0.008443908323281062
308883,2020-07-06,12842,117.0,302.0,4.0,5314.0,0.0047412350944187436,0.004532074204318709,0.0240829346092504
312053,2020-07-07,13069,120.0,227.0,3.0,5401.0,0.00481885787447415,0.004612756010189107,0.017676374396511447
315228,2020-07-08,13419,122.0,350.0,2.0,5550.0,0.004951798038017318,0.0047026148935044795,0.02678093197643278
318402,2020-07-09,13763,124.0,344.0,2.0,5599.0,0.004995516615289903,0.004775649134837399,0.025635293240927042
321582,2020-07-10,14148,130.0,385.0,6.0,5716.0,0.005099905871226484,0.004846006728582201,0.0279735522778464
324764,2020-07-11,14406,133.0,258.0,3.0,5662.0,0.00505172621464037,0.004901196652661003,0.01823579304495335
327950,2020-07-12,14609,133.0,203.0,0.0,5700.0,0.005085630417423191,0.0049635243036414535,0.014091350826044704
331137,2020-07-13,14959,132.0,350.0,-1.0,5856.0,0.005224816092005299,0.005032607303296676,0.023957834211787255
334331,2020-07-14,15159,132.0,200.0,0.0,5880.0,0.00524622927271024,0.005093660360187546,0.013369877665619359
337527,2020-07-15,15410,134.0,251.0,2.0,5880.0,0.00524622927271024,0.005135721965143678,0.016557820436704267
340724,2020-07-16,15663,135.0,253.0,1.0,5803.0,0.005177528651281891,0.0051617236845711055,0.016417910447761194
343924,2020-07-17,15923,136.0,260.0,1.0,5730.0,0.005112396893304366,0.005163508116296517,0.01659962970056822
347126,2020-07-18,16359,138.0,436.0,2.0,5869.0,0.005236414898220475,0.005189892213950819,0.027381774791182565
350327,2020-07-19,16523,138.0,164.0,0.0,5862.0,0.005230169387181535,0.005210540638202011,0.010025062656641603
353530,2020-07-20,16755,140.0,232.0,2.0,5771.0,0.005148977743675304,0.005199706588440582,0.014041033710585245
356734,2020-07-21,17021,143.0,266.0,3.0,5758.0,0.005137378937460129,0.005184156540547709,0.015875857952849896
359940,2020-07-22,17254,147.0,233.0,4.0,5728.0,0.005110612461578954,0.005164782710386097,0.013688972445802245
363148,2020-07-23,17426,155.0,172.0,8.0,5549.0,0.004950905822154612,0.005132408020510772,0.009968702909470268
366354,2020-07-24,17808,159.0,382.0,4.0,5612.0,0.005007115421505079,0.005117367810253731,0.02192126707219098
369563,2020-07-25,18013,159.0,205.0,0.0,5531.0,0.004934845936625907,0.005074286530025935,0.011511680143755615
372775,2020-07-26,18090,159.0,77.0,0.0,5504.0,0.00491075610833285,0.00502865606161898,0.0042746905013046135
375988,2020-07-27,18321,163.0,231.0,4.0,5433.0,0.004847408782080736,0.004985574781391185,0.012769485903814262
379204,2020-07-28,18471,165.0,150.0,2.0,5357.0,0.0047796003765150944,0.004934463558399036,0.008187326019322089
